Batch,CreateTime,Number,Name,Status,Quantity,ItemLine,ModelSummary,Workload,FinishTime,DrwReleaseTarget,DrwReleaseTime,,,,,,,,,,,,,PackingDate,,Purchase,Value,MonthOfInvoice,Remark,,,,
,2023/7/28,FSO230292,Shak Shack以色列,production completed,2,1,非标UVI(2),4.0,2023/9/4,8/14,8/11,8/14,8/14,8/16,8/25,8/28,8/28,8/29,8/29,8/30,8/31,,,8/31,,," 60,240.84 ",Sep,,,,,
,2023/8/1,FSO230298,Aple Herzelia以色列,production completed,2,2,UVI(2)/MCP(1)/MARVEL/ABD阀(2),3.5,2023/9/4,8/14,8/11,8/14,8/14,8/16,8/25,8/28,8/28,8/29,8/29,8/31,9/4,,,9/4,,," 106,819.19 ",Sep,,,,,
,2023/8/7,FSO230310,MUWA Lab,production completed,1,5,KCJ(1)/CJB(2),14.0,2023/9/6,8/22,8/22,8/24,8/25,8/26,8/26,8/29,8/29,8/30,8/30,8/31,9/1,,,9/2,,," 77,939.00 ",Sep,,,,,
,2023/8/21,FSO230326,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,18,HOOD1 KCJ(1)/MARVEL/MCP(3)/Ansul,46.7,2023/9/8,8/23,8/24,8/18,8/25,8/23,8/28,8/23,8/30,8/24,8/31,8/31,9/2,,,9/2,,," 126,309.73 ",Sep,9/8出货,,,,
,2023/8/21,FSO230327,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,9,HOOD2 KCJ(1)/MARVEL/Ansul,45.2,2023/9/8,8/25,8/24,8/26,8/26,8/28,8/29,8/30,8/30,9/1,9/1,9/1,9/4,,,9/4,,镜面KSA-9/14&2100拉丝板-8/30&2500拉丝板-8/29," 77,729.20 ",Sep,9/8出货,,,,
,2023/8/21,FSO230330,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,12,HOOD5 KCJ(1)/MARVEL/Ansul,27.9,2023/9/14→9/8,8/30,8/25,8/28,8/28,8/31,8/31,9/1,9/1,9/2,9/4,9/4,9/5,,,9/6,,镜面KSA-9/14," 125,004.42 ",Sep,9/8出货,,,,
,2023/8/21,FSO230331,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,8,HOOD6 KCJ(1)/MARVEL/Ansul,24.0,2023/9/14→9/8,8/31,8/24,8/29,8/29,9/1,9/1,9/1,9/1,9/4,9/5,9/5,9/6,,,9/7,,镜面KSA-9/14&卡箍(直径100)-9/7&铆钉4*10(ABD阀)-9/5," 59,838.05 ",Sep,9/8出货,,,,
,2023/8/21,FSO230328,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,18,HOOD3 KCJ(1)/MARVEL/Ansul,45.2,2023/9/14,8/28,8/24,8/26,8/26,8/28,8/30,8/31,8/31,9/1,9/1,9/2,9/7,,,9/7,,镜面KSA-9/14," 126,309.73 ",Sep,9/14出货,,,,
,2023/8/21,FSO230329,Chinese and Western Kitchen Renovation南京旅游学校-中西餐厨房改造项目 ,production completed,1,9,HOOD4 KCJ(1)/MARVEL/Ansul,27.9,2023/9/14,8/30,8/24,8/28,8/28,8/30,8/30,8/31,8/31,9/2,9/2,9/6,9/9,,,9/11,,镜面KSA-9/14," 77,729.20 ",Sep,9/14出货,,,,
,2023/8/3,FSO230306,"Ummahat Al Shaykh island 9.45 - Red Sea, KSA(PST订单)",production completed,4,4,PST01(1)/PST03(2)/PST04(1)/喷漆,,2023/9/15→9/17,8/25,8/24,8/25,8/31,8/26,9/7,8/28,9/5,9/5,9/9,9/9,9/20,,,,,电源1拖2&电场-9/21&19*19方管-9/12&网孔板-9/7," 447,194.97 ",Sep,,,,,
,2023/8/9,FSO230314,Vanke Zhen Wan Hui万科臻湾汇,production completed,1,17,UCW(1)/CCW(1)/KBO(1),41.0,2023/9/30→9/19,9/4,8/31,9/2,9/2,9/4,9/4,9/6,9/6,9/8,9/9,9/9,9/14,,,9/14,,," 199,115.04 ",Sep,,,,,
,2023/8/10,FSO230315,Macau Galaxy Watami,production completed,6,8,KVW(2)/KVE-WW(2)/KVE(1)/KCH(1)/CCW(1),15.0,2023/9/15→9/20,9/6,9/6,9/6,9/6,9/7,9/8,9/8,9/11,9/9,9/12,9/13,9/14,,,9/15,,UL金属接线盒-9/15&单挂钩KSA-9/15," 182,745.81 ",Sep,,,,,
1,2023/4/19,FSO230159-1,Huawei Qingpu F area staff kitchen华为青浦F区员工厨房,production completed,14,14,UVF(10)/UVI(4)/UCP(8)/Ansul,37.0,2023/9/28,9/8,9/4,9/4,9/7,9/5,9/7,9/7,9/8,9/13,9/14,9/13,9/19,,,9/19,,," 1,155,649.12 ", Sep??? ,,,,,
,2023/8/23,FSO230336,VIP West Pavilion South,production completed,6,5,KVE-WW(2)/KCH(4)/CCW(1)/Ansul,13.0,2023/9/25,9/6,9/5,9/6,9/6,9/7,9/7,9/9,9/11,9/11,9/12,9/13,9/16,,,9/16,,Ansul 450F 熔断片-9/16&铜水洗喷嘴-9/14&单挂钩KSA-9/16," 206,889.34 ",Sep,,,,,
,2023/8/14,FSO230318,Al-Rashed Aramco - KSA,production completed,6,5,KVC(5)/CH(1)/Ansul,16.0,2023/9/28→9/25,9/12,9/11,9/13,9/13,9/15,9/15,9/18,9/18,9/18,9/20,9/20,9/21,,,9/22,,," 245,660.53 ",Sep,9/25出货,,,,
2,2023/4/19,FSO230159-2,Huawei Qingpu F area staff kitchen华为青浦F区员工厨房,production completed,37,61,UVF(33)/UVI(4)/Ansul,85.5,2023/9/28,9/11,9/4,9/7,9/11,9/9,9/13,9/11,9/15,9/14,9/20,9/16,9/25,,,,,," 1,155,649.12 ", Sep??? ,,,,,
,2023/9/4,FSO230355,ADF S37 CENTRAL KITCHEN KSA ,in production,16,14,UVF(10)/KVV(3)/CMOD-F(2)/KVF(1)/CCW(2),36.3,2023/10/10,9/15,9/18,9/18,9/22,9/19,9/23,9/21,9/25,9/22,9/26,9/25,9/28,,,,,板材-9/21," 624,814.66 ",Sep,10/10出货,,,,
,2023/8/24,FSO230341,Hangzhou Four Seasons BOH杭州四季后场,in production,34,14,UVF(29)/CMOD-F(3)/UVI(2)/CCW(1),71.0,2023/10/15,9/19,9/19,9/19,9/23,9/20,9/25,9/20,9/27,9/21,10/5,9/22,10/8,,,,,," 658,480.53 ",Sep,,,,,
,2023/9/22,FSO230386,Chengdu Huawei U6成都华为U6改造,in production,2,8,UVF(2),4.0,2023/10/10,9/22,9/22,9/25,9/25,9/26,9/26,9/28,9/28,10/5,10/5,10/6,10/6,,,,,," 231,708.19 ", Oct??? ,10/10出货,,,,
